application_num,decision_date,offloading_port_cleaned_EN,loading_port_cleaned_EN,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lat,dest_lon,Destination,exporter_proxy,importer_proxy
176,7/10/2019,Hodeida,"Al Hamriya, UAE",27000,Diesel,55.503616,25.464044,"Al Hamriya, UAE",14.7909118,42.9708838,Hodeida,U,9
175,6/27/2019,Aden,"Fujairah, UAE",20855,Diesel,56.343384,25.130988,"Fujairah, UAE",12.7854969,45.0186548,Aden,M,2
175,6/27/2019,Aden,"Fujairah, UAE",2994,Aircraft fuel,56.343384,25.130988,"Fujairah, UAE",12.7854969,45.0186548,Aden,M,2
174,6/27/2019,Hodeida,"Fujairah, UAE",29291,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,S,21
173,6/22/2019,Aden,"Al Hamriya, UAE",43132,Diesel,55.503616,25.464044,"Al Hamriya, UAE",12.7854969,45.0186548,Aden,W,2
172,6/20/2019,Mukalla,"Jabel Ali, UAE",9800,Petrol,55.0272904,24.9857145,"Jabel Ali, UAE",14.5404328,49.127197,Mukalla,B,3
171,6/20/2019,Nishtun,"Sharjah, UAE",2762,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,L,29
170,6/20/2019,Mukalla,"Sharjah, UAE",2150,Diesel,55.3776082,25.3609963,"Sharjah, UAE",14.5404328,49.127197,Mukalla,R,5
17,12/4/2018,Nishtun,,3538,Petrol,,,,15.8224426,52.1872488,Nishtun,,29
169,6/20/2019,Hodeida,"Midia, Romania",4800,Gas,28.638192,44.3305896,"Midia, Romania",14.7909118,42.9708838,Hodeida,P,20
167,6/20/2019,Hodeida,"Al Hamriya, UAE",4485,Diesel,55.503616,25.464044,"Al Hamriya, UAE",14.7909118,42.9708838,Hodeida,AA,28
166,6/18/2019,Hodeida,"Sohar, Oman",23970,Petrol,56.613922,24.486524,"Sohar, Oman",14.7909118,42.9708838,Hodeida,V,25
165,6/14/2019,Hodeida,"Al Hamriya, UAE",10948,Diesel,55.503616,25.464044,"Al Hamriya, UAE",14.7909118,42.9708838,Hodeida,B,14
